name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205266205337,"£9,960",113000,161,Manual,Diesel,3,Pickup,,2.0L,2011 (61 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176891380,"£13,995",50767,161,Manual,Diesel,,Pickup,,2.0L,2011 (61 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205286250878,"£11,500",112000,161,Manual,Diesel,3,Pickup,,2.0L,2011 (61 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203103397647,"£12,950",128848,161,Manual,Diesel,4,Pickup,,2.0L,2011 (11 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206166848019,"£12,495",92000,161,Manual,Diesel,,Pickup,,2.0L,2011 (11 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206096623711,"£12,495",78500,161,Manual,Diesel,5,Pickup,,2.0L,2011 (61 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206166853485,"£12,750",85000,178,Manual,Diesel,,,,2.0L,2011 (61 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205125615508,"£8,000",162000,,Manual,Diesel,,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205155717436,"£12,990",100000,161,Manual,Diesel,,Pickup,,2.0L,2012 (12 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204084453698,"£14,990",98000,161,Manual,Diesel,,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206136736403,"£10,089",128479,161,Manual,Diesel,3,Pickup,,2.0L,2012 (12 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202201061062706,"£14,615",120275,178,Automatic,Diesel,3,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205215944061,"£17,000",78022,178,Automatic,Diesel,3,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202111270006187,"£11,700",134000,161,Manual,Diesel,,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206166848348,"£9,995",89000,161,Manual,Diesel,3,Pickup,,2.0L,2012 (12 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205256093347,"£10,490",164000,178,Manual,Diesel,,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206267170199,"£14,999",140000,161,Manual,Diesel,4,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176883443,"£15,995",69519,161,Manual,Diesel,2,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202202272995305,"£10,554",200020,161,Manual,Diesel,,Pickup,,2.0L,2012 (12 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204074414630,"£16,794",97000,178,Manual,Diesel,2,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206186930990,"£24,950",79000,178,Manual,Diesel,2,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206126715980,"£9,960",172000,178,Automatic,Diesel,3,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176878928,"£12,600",104000,161,Manual,Diesel,3,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202108226526733,"£15,750",69845,161,Manual,Diesel,,Pickup,,2.0L,2012 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206277218513,"£14,950",68000,120,Manual,Diesel,3,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206277207920,"£12,750",106000,161,Manual,Diesel,,Pickup,,2.0L,2012 (12 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202108075954209,"£12,995",134000,161,Manual,Diesel,9,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206076548655,"£14,990",90000,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206227045642,"£8,388",228000,178,Manual,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206206971760,"£16,650",74416,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205065400571,"£12,995",125000,178,Manual,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206206976647,"£13,995",92000,178,Manual,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206106665014,"£17,990",80996,178,Automatic,Diesel,5,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202108015717013,"£12,995",123000,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204164728059,"£14,494",93000,,Manual,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202110268915999,"£10,143",156000,178,Manual,Diesel,3,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176882179,"£19,495",70000,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206096620337,"£15,450",99850,178,Automatic,Diesel,3,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176888620,"£13,900",69000,178,Manual,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206086573855,"£16,200",73000,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205165759707,"£17,649",85491,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205095512259,"£16,991",54100,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204054327697,"£11,999",135518,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206126723867,"£12,995",142000,138,Manual,Diesel,6,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206277213698,"£16,500",116700,178,Automatic,Diesel,5,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206126713315,"£13,450",90067,178,Manual,Diesel,4,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206186910337,"£19,470",41443,178,Manual,Diesel,3,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206146787513,"£12,999",99110,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206166869977,"£16,995",74113,178,Manual,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206066524038,"£13,500",128146,178,Automatic,Diesel,5,Pickup,,2.0L,2013 (62 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204295163748,"£15,000",95500,178,Automatic,Diesel,4,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202109287897605,"£14,751",123000,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203193723059,"£15,588",99929,178,Manual,Diesel,,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202202162610328,"£20,280",79351,178,Automatic,Diesel,,,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205075451818,"£12,995",139000,178,Automatic,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204114533678,"£15,594",79000,178,Manual,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206277218633,"£15,950",76841,178,Automatic,Diesel,2,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206066516448,"£16,999",34000,178,Manual,Diesel,,Pickup,,2.0L,2013 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176879523,"£16,995",74000,178,Manual,Diesel,2,Pickup,,2.0L,2013 (13 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205135655020,"£10,500",198000,178,Automatic,Diesel,3,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206016395933,"£16,990",73000,178,Automatic,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206217016898,"£16,990",73000,178,Automatic,Diesel,3,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202106234154431,"£13,554",199000,180,Automatic,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206247122578,"£18,588",116391,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206217015416,"£15,900",113000,178,Automatic,Diesel,3,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205266189838,"£18,000",97000,178,Manual,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202202122470646,"£23,990",48800,,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202112030203916,"£19,994",65000,180,Automatic,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206086602531,"£14,750",73580,178,Manual,Diesel,3,Pickup,,2.0L,2014 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206176888742,"£15,995",112000,178,Manual,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202103150176358,"£14,495",93000,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204275092737,"£18,000",66000,178,Manual,Diesel,2,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202201211602744,"£16,995",100000,178,Automatic,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203013078979,"£20,400",78211,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202201151399631,"£22,795",54686,178,Automatic,Diesel,3,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202111109444972,"£17,450",54000,,Automatic,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205065411680,"£15,995",108000,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202202072257122,"£18,888",67194,180,Automatic,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202112020149535,"£14,989",104700,178,Manual,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205155727624,"£20,394",62000,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204204853109,"£21,995",40000,178,Manual,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206056480108,"£23,995",56000,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202202022058959,"£19,975",72997,180,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205185841264,"£17,995",74248,178,Manual,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203113454785,"£18,588",88000,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204265065373,"£17,666",128899,178,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202204134639125,"£17,994",127371,180,Automatic,Diesel,2,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205195870054,"£13,199",164348,178,Automatic,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206277208738,"£17,995",63000,178,Automatic,Diesel,3,Pickup,,2.0L,2014 (63 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206186923922,"£10,000",110000,138,Manual,Diesel,3,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205145689683,"£17,950",94987,178,Automatic,Diesel,,Pickup,,2.0L,2014 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206056495243,"£17,800",47259,178,Manual,Diesel,4,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206026414695,"£20,900",52000,178,Manual,Diesel,,Pickup,,2.0L,
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202111029149823,"£20,950",38000,180,Automatic,Diesel,2,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202109257778597,"£20,994",55601,178,Manual,Diesel,,Pickup,,2.0L,2014 (14 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205175800410,"£14,600",90000,178,Automatic,Diesel,4,Pickup,,2.0L,2015 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203163611964,"£19,089",67671,178,Automatic,Diesel,,Pickup,,2.0L,2015 (64 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206196945916,"£18,300",65158,178,Automatic,Diesel,,Pickup,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205235999492,"£21,089",52801,178,Manual,Diesel,,Pickup,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206136739530,"£18,500",55000,178,Automatic,Diesel,,Pickup,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205316348176,"£23,000",32738,178,Automatic,Diesel,,,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206166869306,"£16,950",77000,178,Automatic,Diesel,,Pickup,,2.0L,2015 (65 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202112010116571,"£18,990",89000,178,Automatic,Diesel,5,Pickup,,2.0L,2015 (65 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206206980462,"£19,000",52250,178,Automatic,Diesel,2,Pickup,,2.0L,2015 (65 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205316337866,"£16,995",63000,178,Automatic,Diesel,,Pickup,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202206076557257,"£25,199",38000,178,Automatic,Diesel,2,Pickup,,2.0L,2015 (15 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202203103407561,"£20,950",68250,178,Automatic,Diesel,2,Pickup,,2.0L,2015 (65 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205195867452,"£17,995",93000,178,Manual,Diesel,,Pickup,,2.0L,2015 (65 reg)
Volkswagen Amarok,https://www.autotrader.co.uk/car-details/202205105537228,"£22,995",39000,178,Automatic,Diesel,,Pickup,,2.0L,2015 (64 reg)
