name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206166871184,"£1,900",107000,138,Automatic,Diesel,7,Hatchback,,2.0L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206216992023,"£1,490",92000,74,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2005 (54 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202112100401460,"£1,995",108235,113,Manual,Petrol,,Hatchback,ULEZ,1.6L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204064371087,"£1,700",82421,113,Manual,Petrol,3,Hatchback,ULEZ,1.6L,2005 (54 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205115582160,"£2,909",129760,198,Manual,Petrol,4,Hatchback,ULEZ,2.0L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206963331,"£1,995",113000,103,Manual,Diesel,6,Hatchback,,1.9L,2005 (05 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206166855785,"£2,885",92222,138,Manual,Diesel,5,Hatchback,,2.0L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205115595595,"£1,999",105000,138,Manual,Diesel,,Hatchback,,2.0L,2005 (05 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202205035281323,"£1,495",127288,103,Manual,Diesel,,Hatchback,,1.9L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206277200314,"£3,699",52000,113,Automatic,Petrol,,Hatchback,ULEZ,1.6L,2005 (55 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202201281890695,"£3,250",86100,148,Automatic,Petrol,,Hatchback,ULEZ,2.0L,2005 (05 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206206986913,"£4,995",78858,198,Manual,Petrol,,Hatchback,ULEZ,2.0L,2005 (05 reg)
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202206146792809,"£1,750",110000,113,Manual,Petrol,5,Hatchback,ULEZ,1.6L,2005 (05 reg)
