name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206136739884,£894,147000,103,Manual,Diesel,,Saloon,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205125637535,"£1,069",186724,130,Manual,Diesel,2,Estate,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205246042813,"£3,995",61000,100,Manual,Diesel,2,Saloon,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206146777674,"£1,950",103000,130,Manual,Petrol,,Estate,ULEZ,2.0L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206036445972,"£2,395",77000,100,Manual,Diesel,3,Saloon,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206146800847,"£1,999",134050,103,Manual,Diesel,3,Saloon,,1.9L,2005 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202112250801107,"£2,495",109000,148,Manual,Petrol,,Saloon,ULEZ,2.0L,2005 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205256096558,"£1,595",121000,100,Manual,Diesel,3,Saloon,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205065401578,"£2,500",131000,130,Manual,Diesel,3,Saloon,,1.9L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202112150539330,"£2,495",117000,148,Manual,Petrol,,Saloon,ULEZ,2.0L,2005 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206237094189,"£1,498",139000,130,Manual,Petrol,,Estate,ULEZ,2.0L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206227042337,"£2,495",102000,138,Manual,Diesel,3,Saloon,,2.0L,2005 (05 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202202052183484,"£1,495",154185,130,Manual,Diesel,4,Estate,,1.9L,2005 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205236007865,"£2,998",102270,138,Manual,Diesel,2,Estate,,2.0L,2005 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206166867469,"£1,500",140000,138,Manual,Diesel,5,Saloon,,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206277220313,"£2,000",184786,148,Automatic,Petrol,4,Estate,ULEZ,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202107245414457,"£1,000",168757,138,Manual,Diesel,2,Estate,,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202111089357694,"£3,254",81920,138,Manual,Diesel,3,Saloon,,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206227061674,"£1,999",140000,103,Manual,Diesel,2,Estate,,1.9L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206076567230,"£2,450",103000,148,Manual,Petrol,,Saloon,ULEZ,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206126713281,"£1,495",159000,103,Manual,Diesel,4,Estate,,1.9L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206217016583,"£1,390",112344,138,Manual,Diesel,,Saloon,,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206106659808,"£2,295",130758,103,Manual,Diesel,2,Estate,,1.9L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206287236185,"£1,290",169390,103,Manual,Diesel,,Estate,,1.9L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202111269979861,"£4,000",66000,148,Manual,Petrol,,Saloon,ULEZ,2.0L,2006 (55 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202110068185917,"£3,000",109489,138,Manual,Diesel,4,Saloon,,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206247114088,"£3,995",100788,148,Automatic,Petrol,,Estate,ULEZ,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202110309066573,"£1,795",180000,138,Manual,Diesel,3,Saloon,,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205225976374,"£3,450",88247,138,Automatic,Diesel,3,Saloon,,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205085463060,"£2,050",89000,138,Automatic,Diesel,5,Estate,,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206116702164,"£1,650",162000,138,Manual,Diesel,2,Estate,,2.0L,2006 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206257156188,"£2,100",117500,148,Automatic,Petrol,7,Estate,ULEZ,2.0L,2006 (06 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206066518211,"£1,495",159000,103,Manual,Diesel,3,Estate,,1.9L,2007 (57 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206206965111,"£1,295",126722,138,Automatic,Diesel,4,Saloon,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206247115861,£950,120000,138,Manual,Diesel,5,Saloon,,2.0L,2007 (56 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206086596038,"£1,250",143213,138,Manual,Diesel,3,Saloon,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205075456045,"£2,495",109200,138,Manual,Diesel,2,Saloon,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205256091783,"£1,790",132000,103,Manual,Diesel,2,Saloon,,1.9L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206217010097,"£2,495",138600,168,Manual,Diesel,,Estate,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206136757741,"£1,700",134000,168,Manual,Diesel,7,Saloon,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205105541063,"£1,290",209178,103,Manual,Diesel,3,Saloon,,1.9L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202205256102102,"£1,995",146000,138,Manual,Diesel,,Estate,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206257163444,"£1,247",183241,103,Manual,Diesel,6,Saloon,,1.9L,2007 (57 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206176902184,"£1,695",127000,138,Manual,Diesel,3,Saloon,,2.0L,2007 (07 reg)
Volkswagen Passat,https://www.autotrader.co.uk/car-details/202206237098416,"£1,190",165000,138,Manual,Diesel,3,Estate,,2.0L,2007 (56 reg)
