name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206257160185,"£1,395",83000,55,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206096637258,"£1,500",186955,79,Manual,Diesel,2,Hatchback,,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206277216795,£700,72500,55,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206257162983,"£2,900",74510,65,Manual,Petrol,5,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206287226538,"£1,195",123000,65,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206217014113,"£2,490",51080,55,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206277201766,"£3,350",75844,74,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206237087982,"£1,999",88000,55,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205045354356,"£2,390",83947,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206176907711,"£2,995",78000,74,Automatic,Petrol,4,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206066515294,"£1,900",81574,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202204154680704,"£2,500",82000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206046463528,"£1,999",93046,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206247129048,"£1,595",94000,74,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205125631013,"£1,599",99000,75,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205125642245,"£1,249",85000,55,Manual,Petrol,3,Hatchback,ULEZ,1.2L,2005 (54 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202201251761442,"£2,490",77623,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206166840229,"£1,995",92000,74,Manual,Petrol,,Hatchback,ULEZ,1.4L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206237101229,"£1,895",100000,65,Manual,Petrol,4,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205115595614,"£1,899",88000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206076553349,"£2,199",82000,79,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267169799,"£2,799",57505,74,Manual,Petrol,3,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205125630788,"£1,999",80000,65,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (55 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205235999211,"£3,450",52592,75,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206116691714,"£2,999",70000,75,Automatic,Petrol,3,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205316364341,"£1,795",109900,65,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206267183800,"£2,500",100650,75,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205175800599,"£1,650",104650,75,Manual,Petrol,4,Hatchback,ULEZ,1.4L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202205185846079,"£2,990",40000,55,Manual,Petrol,,Hatchback,ULEZ,1.2L,2005 (05 reg)
Volkswagen Polo,https://www.autotrader.co.uk/car-details/202206186922321,"£1,995",112447,64,Manual,Diesel,,Hatchback,,1.9L,2005 (54 reg)
