name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202205246065040,"£3,700",109000,138,Manual,Diesel,5,Hatchback,,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206016402689,"£5,350",87400,198,Manual,Petrol,3,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206066523873,"£4,150",103880,198,Manual,Petrol,4,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206156828664,"£5,150",106750,198,Manual,Petrol,5,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206126724397,"£3,750",110000,198,Manual,Petrol,5,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206267186206,"£4,750",115000,198,Manual,Petrol,8,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202205175794871,"£6,595",71017,198,Manual,Petrol,3,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202205055362706,"£4,575",105000,198,Manual,Petrol,4,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206016373120,"£5,689",97000,198,Manual,Petrol,,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206166864777,"£5,000",93000,198,Automatic,Petrol,5,Hatchback,ULEZ,2.0L,2008 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206116693434,"£4,195",96600,138,Automatic,Diesel,5,Hatchback,,2.0L,2009 (59 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206016405842,"£5,495",116390,168,Automatic,Diesel,,Hatchback,,2.0L,2009 (59 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202204104509320,"£5,995",91000,175,Manual,Diesel,8,Hatchback,,2.0L,2009 (59 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202202072255733,"£5,795",86000,198,Manual,Petrol,,Hatchback,ULEZ,2.0L,2009 (58 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206156820430,"£4,990",119467,198,Automatic,Petrol,,Hatchback,ULEZ,2.0L,2009 (09 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206176885636,"£4,450",117000,158,Automatic,Petrol,5,Hatchback,ULEZ,1.4L,2009 (09 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202205205927529,"£8,500",81000,,Automatic,Petrol,,Hatchback,,,2009 (09 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202205316339289,"£3,999",142000,198,Automatic,Petrol,4,Hatchback,ULEZ,2.0L,2009 (09 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202206186919981,"£6,095",75000,198,Manual,Petrol,5,Hatchback,ULEZ,2.0L,2009 (09 reg)
Volkswagen Scirocco,https://www.autotrader.co.uk/car-details/202110078236586,"£3,400",167000,198,Manual,Petrol,,Hatchback,ULEZ,2.0L,2009 (09 reg)
