name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen T-Cross Estate,https://www.autotrader.co.uk/car-details/202206096620456,"£20,165",51919,,Automatic,Petrol,2,SUV,ULEZ,,2018 (67 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206116681460,"£14,990",47835,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206166850039,"£21,599",9136,,Automatic,Diesel,,SUV,ULEZ,1.6L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202203113441633,"£18,948",30363,,Manual,Diesel,,SUV,ULEZ,1.6L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204285115612,"£15,740",22377,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205195859139,"£17,998",42252,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204285114071,"£19,790",14163,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205055374025,"£18,490",18505,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205266205905,"£19,995",36345,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206146787070,"£18,649",12000,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204275073008,"£22,890",7906,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205236004240,"£20,000",10000,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204044294252,"£21,095",11000,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206126719927,"£15,999",10455,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205306319600,"£17,980",21885,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205246032401,"£19,159",5320,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205105549203,"£16,198",33759,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206096628836,"£18,995",29442,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206076554708,"£21,990",9457,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204024236714,"£17,795",21902,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204224922275,"£20,495",14121,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204265050562,"£19,000",38900,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205236012547,"£22,995",13724,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206146782537,"£19,750",35090,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204164722524,"£19,395",26000,,Automatic,Diesel,3,SUV,ULEZ,1.6L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206206977419,"£16,439",32774,113,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206176895787,"£22,995",2550,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross Estate,https://www.autotrader.co.uk/car-details/202203083324070,"£17,700",14714,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross Estate,https://www.autotrader.co.uk/car-details/202206016377152,"£18,822",14405,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205065418351,"£15,990",18200,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205246056316,"£20,059",28442,113,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205035301867,"£18,639",33789,113,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206227026784,"£20,000",11633,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206247126147,"£17,990",12903,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204305215475,"£15,999",25741,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204024236725,"£17,499",18274,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202202182690089,"£17,950",17180,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206287236880,"£18,495",14987,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206106662402,"£19,000",16893,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206106644263,"£20,000",16850,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205246068829,"£21,998",26109,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206066510884,"£21,194",21626,113,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206237089387,"£19,000",23669,113,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205035297047,"£18,377",17545,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206076536204,"£19,950",12699,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205306319812,"£19,989",14553,,Manual,Petrol,3,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206066518107,"£19,990",18050,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204144658425,"£17,100",21816,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T Cross,https://www.autotrader.co.uk/car-details/202202162636532,"£19,789",17031,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204275090814,"£16,689",21000,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205205924538,"£19,495",9562,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202106163893830,"£16,150",32677,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205306319908,"£20,649",25871,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205306319862,"£18,375",21247,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202202032119348,"£21,559",14483,113,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205286266649,"£21,970",8124,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205256106068,"£17,490",22150,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross Estate,https://www.autotrader.co.uk/car-details/202204194794248,"£18,041",11766,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205115587499,"£16,999",17510,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205045313873,"£19,793",16774,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206227049032,"£19,157",3364,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202204285121096,"£17,648",23533,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206086588106,"£19,500",29918,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross Estate,https://www.autotrader.co.uk/car-details/202203083313815,"£17,723",14415,,Manual,Petrol,2,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206267178010,"£20,995",21681,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205276234896,"£19,125",22090,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206026409466,"£18,750",20635,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205276223310,"£19,399",10089,,Automatic,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206086582341,"£20,999",17182,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202206227028980,"£21,490",14821,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (69 reg)
Volkswagen T-Cross,https://www.autotrader.co.uk/car-details/202205215955819,"£18,814",6647,,Manual,Petrol,,SUV,ULEZ,1.0L,2019 (19 reg)
