name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202204194797150,"£18,990",24500,,Manual,Diesel,,SUV,ULEZ,1.6L,2016 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202204214880626,"£15,999",42357,,Manual,Diesel,,SUV,ULEZ,1.6L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205215956996,"£16,499",23870,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T Roc,https://www.autotrader.co.uk/car-details/202206166868250,"£23,350",19382,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205276223343,"£16,000",24699,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205256118227,"£14,899",81119,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205236000166,"£19,988",29970,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205055364247,"£18,000",36099,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202204254998475,"£19,019",18843,148,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202202032101534,"£16,999",40881,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202203253930829,"£16,970",37612,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202202182703348,"£15,990",38000,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202204265042941,"£18,495",46298,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202204134610327,"£13,250",100000,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205306316930,"£21,650",29056,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206136744646,"£20,980",29519,,Automatic,Petrol,,SUV,ULEZ,1.5L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205256098460,"£16,199",46405,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206257161772,"£17,699",38829,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206186910201,"£17,890",63867,,Manual,Petrol,2,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202205065421463,"£16,988",48356,,Manual,Diesel,,SUV,ULEZ,1.6L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202203013059185,"£16,500",83310,,Manual,Diesel,,SUV,ULEZ,1.6L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206277216727,"£18,599",31408,,Manual,Petrol,,SUV,ULEZ,1.0L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206287236703,"£18,999",44675,,Manual,Diesel,2,SUV,ULEZ,1.6L,2018 (68 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202206186922687,"£20,980",33554,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
Volkswagen T-Roc,https://www.autotrader.co.uk/car-details/202112270826198,"£19,490",29000,,Manual,Petrol,,SUV,ULEZ,1.5L,2018 (18 reg)
