name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206277214410,"£2,000",172000,138,Manual,Diesel,5,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206146791115,"£3,799",117000,138,Manual,Diesel,3,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202204194817842,"£4,250",100000,148,Manual,Petrol,,SUV,ULEZ,1.4L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203263976574,"£6,098",54000,138,Automatic,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203223809381,"£3,750",63000,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206166867591,"£4,495",99000,138,Manual,Diesel,3,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206277207893,"£3,480",131220,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202201081141656,"£4,290",97551,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202201311987757,"£4,990",119500,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202204255021523,"£5,600",76000,138,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206217009869,"£4,200",104588,138,Manual,Diesel,3,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206206960788,"£5,290",107000,138,Automatic,Diesel,5,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202204234952322,"£3,500",148339,138,Manual,Diesel,4,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203103410169,"£5,595",93220,138,Manual,Diesel,5,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206247115082,"£6,450",80000,138,Manual,Diesel,3,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202205015232172,"£4,490",121900,138,Automatic,Diesel,,SUV,,2.0L,2008 (06 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206186921431,"£6,395",79001,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202111249908044,"£3,850",118953,138,Manual,Diesel,3,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203113462086,"£5,995",91000,168,Manual,Diesel,5,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202205025258172,"£4,999",112343,138,Automatic,Diesel,5,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203284043238,"£6,885",76000,138,Automatic,Diesel,4,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202204224934479,"£4,595",111878,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206166857868,"£4,695",119000,148,Manual,Petrol,2,SUV,ULEZ,1.4L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203263965735,"£4,599",105000,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206156838772,"£3,850",142000,138,Manual,Diesel,4,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202205095508855,"£2,950",158000,138,Manual,Diesel,,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206156804454,"£4,290",108000,168,Manual,Diesel,,SUV,,2.0L,2008 (58 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202206267173354,"£5,495",94000,138,Manual,Diesel,2,SUV,,2.0L,2008 (08 reg)
Volkswagen Tiguan,https://www.autotrader.co.uk/car-details/202203213775840,"£3,545",150748,138,Manual,Diesel,4,SUV,,2.0L,2008 (08 reg)
