name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202206267182820,"£5,000",260000,103,Manual,Diesel,,,,1.9L,2005 (55 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202204024236133,"£9,995",147000,,Manual,Diesel,,,,2.5L,2005 (05 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202206016383093,"£4,999",167321,,Manual,Diesel,,,,,2006 (55 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202206076559916,"£11,950",149600,101,Manual,Diesel,2,,,2.0L,2006 (06 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202202262975667,"£11,275",127000,103,Manual,Diesel,,,,1.9L,2007 (07 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202109177477946,"£16,990",100000,172,Manual,Diesel,,,,2.5L,2007 (07 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202202122467319,"£8,950",142914,103,Manual,Diesel,,,,1.9L,2008 (08 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202205225981724,"£21,995",116000,172,Manual,Diesel,,,,2.5L,2008 (08 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202206277212461,"£15,190",96000,,Manual,Diesel,5,,,2.5L,2009 (59 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202204074422253,"£9,500",270000,138,Manual,Diesel,2,,,2.0L,2010 (10 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202108196420452,"£14,995",174000,101,Manual,Diesel,2,,,2.0L,2010 (60 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202205095493548,"£17,800",123000,138,Manual,Diesel,2,,,2.0L,2010 (10 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202108055880366,"£14,145",108310,178,Automatic,Diesel,2,,,2.0L,2010 (60 reg)
Volkswagen Transporter,https://www.autotrader.co.uk/car-details/202206026418427,"£21,490",62500,178,Automatic,Diesel,,,,2.0L,2010 (60 reg)
