name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206257151082,"£2,990",124918,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206277207777,"£4,349",66000,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206277215597,"£3,600",75200,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206257162861,"£4,490",39000,59,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202202022044193,"£4,849",44300,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206166868026,"£5,085",53850,59,Automatic,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206247112620,"£5,499",55850,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205316331862,"£5,400",37000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202204214871165,"£5,495",56000,74,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202204224907255,"£7,987",38000,,Automatic,Petrol,,Hatchback,,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205286270168,"£4,150",91800,74,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205055386894,"£5,236",27012,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206076566546,"£4,995",58300,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202204044300897,"£5,450",72470,74,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205296278723,"£5,495",71127,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206116702523,"£4,150",63500,59,Manual,Petrol,5,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202202112434901,"£4,666",69000,59,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202203213789674,"£6,500",31000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205145693413,"£5,995",19700,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205316349413,"£5,000",40000,59,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202201281887985,"£4,595",68000,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206066506458,"£5,495",56000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206277190101,"£6,495",57000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205045350486,"£4,695",69000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202204275083280,"£3,550",106682,59,Manual,Petrol,4,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205205922028,"£3,495",121787,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205135682202,"£5,295",39046,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206096620836,"£4,590",60000,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202204094487892,"£6,000",31460,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP,https://www.autotrader.co.uk/car-details/202206166848785,"£5,100",45839,59,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202203304112264,"£4,895",45000,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205256095694,"£5,990",25000,59,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP,https://www.autotrader.co.uk/car-details/202205105534996,"£3,995",75730,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206086580479,"£4,795",65000,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202205115580538,"£4,595",61219,59,Manual,Petrol,3,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206156816570,"£3,409",77000,59,Manual,Petrol,4,Hatchback,ULEZ,1.0L,2012 (12 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206227051138,"£7,490",21000,74,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP!,https://www.autotrader.co.uk/car-details/202206066520579,"£4,799",60821,74,Manual,Petrol,2,Hatchback,ULEZ,1.0L,2012 (62 reg)
Volkswagen UP,https://www.autotrader.co.uk/car-details/202205175801210,"£4,290",82713,59,Manual,Petrol,,Hatchback,ULEZ,1.0L,2012 (62 reg)
