No,MLSID,StreetNumberNumeric,streetaddress,STREETNAME,PostalCode,StateOrProvince,City,SalesClosePrice,LISTDATE,LISTPRICE,LISTTYPE,OriginalListPrice,FOUNDATIONSIZE,FENCE,MapLetter,LotSizeDimensions,SchoolDistrictNumber,DAYSONMARKET,offmarketdate,Fireplaces,RoomArea4,roomtype,ROOF,RoomFloor4,PotentialShortSale,PoolDescription,PDOM,GarageDescription,SQFTABOVEGROUND,Taxes,RoomFloor1,RoomArea1,TAXWITHASSESSMENTS,TAXYEAR,LivingArea,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,CoolingDescription,APPLIANCES,backonmarketdate,ROOMFAMILYCHAR,RoomArea3,EXTERIOR,RoomFloor3,RoomFloor2,RoomArea2,DiningRoomDescription,BASEMENT,BathsFull,BathsHalf,BATHQUARTER,BATHSTHREEQUARTER,Class,BATHSTOTAL,BATHDESC,RoomArea5,RoomFloor5,RoomArea6,RoomFloor6,RoomArea7,RoomFloor7,RoomArea8,RoomFloor8,Bedrooms,SQFTBELOWGROUND,AssumableMortgage,AssociationFee,ASSESSMENTPENDING,AssessedValuation
1,RMLS,11511,11511 Stillwater Blvd N,Stillwater,55042,MN,LELM - Lake Elmo,143000,7/15/2017 0:00,139900,Exclusive Right,139900,980,Other,C4,279X200,834 - Stillwater,10,7/30/2017 0:00,0,12 x  9,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck","",Main,No,"",10,Attached Garage,980,1858,Main,16 x 13,1858,2017,980,"",1950,Residential-Single,(SF) One Story,1.28,Central,"Range, Dishwasher, Refrigerator","","","",Vinyl,"",Main,9 x  7,Eat In Kitchen,Full,1,1,0,0,SF,2,"Main Floor 3/4 Bath, 1/2 Basement, Basement",13 x 11,Main,10 x 10,Main,"","","","",3,0,"",0,Unknown,0
2,RMLS,11200,11200 31st St N,31st,55042,MN,LELM - Lake Elmo,190000,10/9/2017 0:00,210000,Exclusive Right,210000,1144,"",C1,100x140,834 - Stillwater,4,10/13/2017 0:00,0,11x11,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office","Asphalt Shingles, Pitched, Age 8 Years or Less",Main,No,"",4,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1268,1640,Main,22x14,1640,2017,2228,"",1971,Residential-Single,(SF) Split Entry (Bi-Level),0.32,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal","",Lower Level,22x14,Vinyl,Lower,Main,11x12,"Informal Dining Room, Kitchen/Dining Room","Full, Partial Finished, Day/Lookout Windows, Concrete Block",1,0,0,2,SF,3,"Main Floor Full Bath, Upper Level 3/4 Bath, 3/4 Master, 3/4 Basement",15x11,Main,14x11,Main,10x11,Main,11x11,Lower,4,960,"",0,Unknown,0
3,RMLS,8583,8583 Stillwater Blvd N,Stillwater,55042,MN,LELM - Lake Elmo,225000,6/26/2017 0:00,225000,Exclusive Right,225000,1102,None,E1,120x296,622 - North St Paul-Maplewood,28,7/24/2017 0:00,0,14x12,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","",Main,No,None,28,Attached Garage,1102,2390,Main,20x13,2390,2016,1102,"",1949,Residential-Single,(SF) One Story,0.822,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal","","","",Cement Board,"",Main,18x11,Informal Dining Room,"Full, Crawl Space, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,12x12,Main,12x12,Main,"","","","",2,0,Not Assumable,0,No,0
4,RMLS,9350,9350 31st St N,31st,55042,MN,LELM - Lake Elmo,265000,8/25/2017 0:00,230000,Exclusive Right,230000,959,None,A1,208X208,834 - Stillwater,19,9/13/2017 0:00,1,12X16,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office, Office, Deck","Asphalt Shingles, Pitched, Age 8 Years or Less",Main,No,None,19,"Attached Garage, Detached Garage, Tuckunder, Driveway - Gravel",1284,2146,"","",2146,2017,1632,"",1960,Residential-Single,(SF) One Story,0.94,Central,"Range, Washer, Dryer","",Main Level,25X13,Stucco,Main,Main,20X11,"","Full, Partial Finished, Drain Tiled, Sump Pump",1,1,0,0,SF,2,"Main Floor Full Bath, 1/2 Basement",13X11,Main,13X10,Main,"","","","",2,348,"",0,Unknown,0
5,RMLS,2915,2915 Inwood Ave N,Inwood,55042,MN,LELM - Lake Elmo,249900,9/12/2017 0:00,239900,Exclusive Right,239900,1026,Chain Link,E1,116x200,622 - North St Paul-Maplewood,21,10/3/2017 0:00,1,12x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Deck, Patio","Asphalt Shingles, Age Over 8 Years",Main,No,"",21,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1026,2010,Main,22x14,2010,2017,2052,"",1978,Residential-Single,(SF) Split Entry (Bi-Level),0,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer","",Lower Level,22x18,Vinyl,Lower,Main,12x10,"Breakfast Area, Kitchen/Dining Room","Walkout, Full, Finished (Livable), Sump Pump, Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, Master Walk-Thru, Walk Thru, 3/4 Basement",13x11,Main,13x12,Main,14x13,Lower,"","",3,1026,"",0,No,0
6,RMLS,3604,3604 Layton Ave N,Layton,55042,MN,LELM - Lake Elmo,255000,4/10/2017 0:00,239900,Exclusive Right,239900,1152,"",C1,50x150,834 - Stillwater,17,4/27/2017 0:00,1,11 x 11,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Master Bath, Three Season Porch","Asphalt Shingles, Age 8 Years or Less",Main,No,"",17,"Attached Garage, Driveway - Asphalt",1397,1491,Main,19 x 13,1494,2016,1397,"",1965,Residential-Single,(SF) One Story,0.172,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer","","","","Metal, Vinyl","",Main,10 x 13,Separate/Formal Dining Room,"Full, Sump Pump, Concrete Block, Unfinished",2,0,0,0,SF,2,"Main Floor Full Bath, Full Master",25.5 x 11,Main,10 x 11,Main,9.5 x 10,Main,"","",3,0,Not Assumable,0,No,3
7,RMLS,9957,9957 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,248000,6/8/2017 0:00,250000,Exclusive Right,265000,700,"",A4,common,834 - Stillwater,32,7/10/2017 0:00,0,14x9,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft","Asphalt Shingles, Age 8 Years or Less",Main,No,"",19,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1798,2165,Main,13x15,2168,2017,1798,"",2015,Residential-Single,(TH) Side x Side,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned","",Loft,"","Shakes, Metal, Vinyl, Brick/Stone","",Main,11x13,"Informal Dining Room, Kitchen/Dining Room",Slab,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",13x19.6,Upper,11x13.6,Upper,11x13.6,Upper,"","",3,0,"",200,Yes,3
8,RMLS,9934,9934 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,245000,11/5/2017 0:00,254990,Exclusive Right,273417,1088,Partial,A4,common,834 - Stillwater,5,11/10/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,"",1,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,"",2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger","","Main Level, Family Room, Loft","",Vinyl,"",Main,12 x 10,"Informal Dining Room, Eat In Kitchen",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,"","",3,0,"",200,No,0
9,RMLS,9926,9926 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,254990,10/12/2017 0:00,254990,Exclusive Right,273152,1088,Partial,E1,common,834 - Stillwater,23,11/11/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,"",5,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,"",2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger","","","",Vinyl,"",Main,12 x 10,"Informal Dining Room, Eat In Kitchen, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,"","",3,0,"",200,No,0
10,RMLS,9928,9928 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,250000,9/2/2017 0:00,255990,Exclusive Right,273482,1088,"Privacy, Partial",A4,common,834 - Stillwater,73,11/20/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,"",11,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,"",2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger","","Main Level, Family Room, Loft","",Vinyl,"",Main,12 x 10,"Informal Dining Room, Eat In Kitchen",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,"","",3,0,"",200,No,0
